date_utc,region_code,proj_type_code,role_count_day,median_rate_day_usd,lead_share_pct_day,union_share_pct_day,sentiment_avg_day,theme_ai_share_pct_day
2024-06-11,LA,V,8.71109082522566,199.53591794303142,24.877483161901228,31.396870576953436,2.219973942131204,41.89346452168557
2024-07-05,LA,V,9.316974250357577,150.01728999657425,0.9591843922529317,32.240999159027375,-0.08632769997000428,28.80063122403464
2024-07-05,NY,V,8.623598512985504,251.68811834928604,37.004436545132,13.286336595681567,0.2383056252002067,12.938704553707403
2025-06-04,Other,V,28.21979537321601,,91.2670079951808,2.6772669686766286,0.7209397963209094,35.89406113090274
2025-06-09,LA,C,3.835367391704601,299.3040177209391,0.45960358253871625,95.49415322521983,-0.31847232474833664,100.02448340398955
2025-06-09,LA,F,14.835212782160427,224.80248258403165,74.8725131451272,50.99674959692618,2.8746509577317547,30.4081181937792
2025-06-09,LA,V,15.847275463139088,250.71560196697862,15.289726297578467,44.9339487268271,2.6388626839814524,33.64297716098774
2025-06-09,NY,F,7.318083683919994,,83.2903069944606,100.61251572822805,-0.7860432897470497,65.64655090028586
2025-06-10,CHI,T,5.225934973067319,99.21823214309511,57.323114721759666,80.78206734548357,0.24448181456606932,60.48106534700777
2025-06-10,CHI,V,8.538102881144646,198.12893637807383,51.70727570683308,60.59006021462034,-0.40790220174208913,49.74313250098036
2025-06-10,LA,C,51.80992998986213,449.45441539815533,48.44137011036281,72.36722496023965,-0.4126787436776028,65.66719663724436
2025-06-10,LA,F,46.81041029459836,348.8681697778574,34.49310861800504,50.83785265791562,-2.5067503401824687,37.30916812814653
2025-06-10,LA,T,11.09328236279473,251.96180290532067,19.527468622174084,51.29538239109828,0.49734489042264785,69.6174689377935
2025-06-10,LA,V,87.14357647695759,225.95773989992463,30.74096371534928,52.58315401115242,0.15537245226969326,48.51696141824775
2025-06-10,NY,F,17.988436407264214,250.3103470099606,36.89807661742185,20.687202147471695,-2.173438972981685,33.49304321659078
2025-06-10,NY,V,39.997086051356476,901.3583725499609,21.004960690135082,22.33735028768644,-0.43466427339218816,33.105186526601045
2025-06-10,Other,C,19.503216137506747,400.9348217601806,72.79965995217628,84.5251279687834,1.6457137705293952,24.338125211735157
2025-06-10,Other,F,41.05078065030091,249.01419872098603,49.59909819657819,62.96978099265572,-0.6857962988089003,61.38561555848397
2025-06-10,Other,T,20.853690210060424,176.5376662246756,16.41194723873164,62.51472860339779,-1.1385996390162973,77.20633689207928
2025-06-10,Other,V,54.459502282255144,200.08195272140622,47.05900481697425,71.22174217836609,0.07867985281896846,60.11698518012656
2025-06-11,CHI,C,6.253223693339853,250.9542011107436,16.917907231823328,51.48910473184157,3.700889802055318,66.761132229634
2025-06-11,LA,C,36.72341249220799,501.5710954687263,65.05628819870947,89.44282613344244,-0.6254420036679771,25.573719073204053
2025-06-11,LA,F,25.46264095288599,249.54745421188275,59.768309727425354,25.469496631053207,0.572007829737348,17.519095814805592
2025-06-11,LA,T,37.689013389472606,248.48634419715455,62.26341912034851,90.05597916375666,0.7407404456795176,54.18197604463458
2025-06-11,LA,V,64.90803817347641,124.21445311527401,34.49709254319896,49.93724557251692,-0.6938615099804843,46.21362724708848
2025-06-11,NY,C,16.844788830470968,399.8424283153307,62.07023297006892,75.13074031432588,0.7596017479323708,44.109522738922934
2025-06-11,NY,F,25.082076847243393,1.010682546079,11.248141311409272,43.080742786161416,-0.20711464722947162,68.81147988429682
2025-06-11,NY,T,8.028881974473183,126.27819779131988,-0.6112021661008431,12.487513560596533,0.4573565671718258,62.14106414387488
2025-06-11,NY,V,21.204357540749815,245.72444006542773,48.67141068468099,57.14653165821732,0.510690646577693,29.201318249167173
2025-06-11,Other,C,15.623777252051093,700.0217289787786,77.46243648289082,83.1434421347285,0.2742380693924037,23.780950168547307
2025-06-11,Other,F,17.242185840089665,149.8194632570349,40.62351348213773,73.52089381364499,-1.6115839328508879,60.28798538883667
2025-06-11,Other,T,30.924268676194913,174.1885547983197,56.28925990264781,89.06651731742586,1.210497613686352,75.82041501137095
2025-06-11,Other,V,73.96057259486491,498.5717610756293,48.73361423597214,35.43312884326178,-0.2938523659700044,27.93416351300776
2025-06-12,LA,V,8.280540612946984,124.60729860228167,17.627336415214785,50.31858237036761,-0.8360776127896739,48.217873563707876
